#SampleID	Rabbit_ID	hay	pellet	diet	Unassigned;Other	k__Bacteria;Other	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deferribacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GN02	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__OP11	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Synergistetes	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	Unassigned;Other;Other	k__Bacteria;Other;Other	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__GN02;c__GKS2-174	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__OP11;c__OP11-3	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM7;c__	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__RF3	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	Unassigned;Other;Other;Other	k__Bacteria;Other;Other;Other	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	k__Bacteria;p__Cyanobacteria;c__Nostocophycideae;o__Stigonematales	k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__GN02;c__GKS2-174;o__	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	k__Bacteria;p__OP11;c__OP11-3;o__	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__MND1	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Bdellovibrionales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	k__Bacteria;p__TM7;c__;o__	k__Bacteria;p__TM7;c__TM7-3;o__CW040	k__Bacteria;p__TM7;c__TM7-3;o__EW055	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
R1.P	A.12	Free Choice Timothy Hay	No Pellets	__Free Choice Timothy Hay, No Pellets__	0.101705882353	0.000117647058824	0.00782352941176	0.317294117647	0.00182352941176	0.0	0.516764705882	0.0	0.0	5.88235294118e-05	0.0	0.00135294117647	0.0	0.000588235294118	0.0212352941176	0.0312352941176	0.101705882353	0.000117647058824	0.00664705882353	0.00117647058824	0.317294117647	0.0	0.0	0.00182352941176	0.0	0.0	0.0	5.88235294118e-05	0.516647058824	5.88235294118e-05	0.0	0.0	5.88235294118e-05	0.0	0.000529411764706	5.88235294118e-05	0.000352941176471	0.000411764705882	0.0	0.0	0.0	0.000588235294118	0.0198235294118	0.00141176470588	0.0312352941176	0.101705882353	0.000117647058824	0.0	0.00664705882353	0.00117647058824	0.317294117647	0.0	0.0	0.00182352941176	0.0	0.0	0.0	5.88235294118e-05	0.0	0.516529411765	0.000117647058824	5.88235294118e-05	0.0	0.0	5.88235294118e-05	0.0	0.0	0.000529411764706	0.0	0.0	0.0	5.88235294118e-05	0.0	0.0	0.0	0.000352941176471	0.000411764705882	0.0	0.0	0.0	0.0	0.0	0.0	0.000588235294118	0.0	0.0198235294118	0.00141176470588	0.0312352941176
R10.P	A.13	Free Choice Timothy Hay	No Pellets	__Free Choice Timothy Hay, No Pellets__	0.0713529411765	0.0	0.000117647058824	0.181882352941	0.00164705882353	0.0	0.636176470588	0.0	0.0	0.000117647058824	0.0	0.00723529411765	0.0	0.0	0.0718823529412	0.0295882352941	0.0713529411765	0.0	0.0	0.000117647058824	0.181882352941	0.0	0.0	0.00164705882353	0.0	0.0	0.0	0.0	0.635882352941	0.000294117647059	0.0	0.0	0.000117647058824	0.0	0.00623529411765	5.88235294118e-05	0.0	0.000941176470588	0.0	0.0	0.0	0.0	0.0524117647059	0.0194705882353	0.0295882352941	0.0713529411765	0.0	0.0	0.0	0.000117647058824	0.181882352941	0.0	0.0	0.00164705882353	0.0	0.0	0.0	0.0	0.0	0.635823529412	5.88235294118e-05	0.000294117647059	0.0	0.0	0.000117647058824	0.0	0.00182352941176	0.00441176470588	0.0	0.0	0.0	5.88235294118e-05	0.0	0.0	0.0	0.0	0.000941176470588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0524117647059	0.0194705882353	0.0295882352941
R11.P	A.14	Free Choice Timothy Hay	No Pellets	__Free Choice Timothy Hay, No Pellets__	0.0818235294118	0.0	0.000764705882353	0.145823529412	0.00170588235294	0.0	0.681823529412	0.0	0.0	0.0	0.0	0.00376470588235	0.0	0.000176470588235	0.0603529411765	0.0237647058824	0.0818235294118	0.0	0.000235294117647	0.000529411764706	0.145823529412	0.0	0.0	0.00170588235294	0.0	0.0	0.0	0.0	0.681647058824	0.000176470588235	0.0	0.0	0.0	0.0	0.00329411764706	0.0	0.000117647058824	0.000294117647059	5.88235294118e-05	0.0	0.0	0.000176470588235	0.0482941176471	0.0120588235294	0.0237647058824	0.0818235294118	0.0	0.0	0.000235294117647	0.000529411764706	0.145823529412	0.0	0.0	0.00170588235294	0.0	0.0	0.0	0.0	0.0	0.681588235294	5.88235294118e-05	0.000176470588235	0.0	0.0	0.0	0.0	0.001	0.00229411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000117647058824	0.000294117647059	0.0	0.0	5.88235294118e-05	0.0	0.0	0.0	0.000176470588235	0.0	0.0482941176471	0.0120588235294	0.0237647058824
R12.P	A.15	Free Choice Timothy Hay	No Pellets	__Free Choice Timothy Hay, No Pellets__	0.0614705882353	0.0	0.00264705882353	0.137823529412	0.000176470588235	0.0	0.728823529412	0.0	0.0	5.88235294118e-05	0.0	0.00305882352941	0.0	0.000176470588235	0.0411764705882	0.0245882352941	0.0614705882353	0.0	0.00217647058824	0.000470588235294	0.137823529412	0.0	0.0	0.000176470588235	0.0	0.0	0.0	0.0	0.728823529412	0.0	0.0	0.0	5.88235294118e-05	0.0	0.00252941176471	5.88235294118e-05	0.000294117647059	0.000176470588235	0.0	0.0	0.0	0.000176470588235	0.0392352941176	0.00194117647059	0.0245882352941	0.0614705882353	0.0	0.0	0.00217647058824	0.000470588235294	0.137823529412	0.0	0.0	0.000176470588235	0.0	0.0	0.0	0.0	0.0	0.728764705882	5.88235294118e-05	0.0	0.0	0.0	5.88235294118e-05	0.0	0.0	0.00252941176471	0.0	0.0	0.0	5.88235294118e-05	0.0	0.0	0.0	0.000294117647059	0.000176470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.000176470588235	0.0	0.0392352941176	0.00194117647059	0.0245882352941
R13.P	A.16	Free Choice Timothy Hay	No Pellets	__Free Choice Timothy Hay, No Pellets__	0.115117647059	5.88235294118e-05	0.000588235294118	0.355	0.000352941176471	0.0	0.475647058824	0.0	0.0	0.0	0.0	0.00505882352941	5.88235294118e-05	0.000235294117647	0.0367647058824	0.0111176470588	0.115117647059	5.88235294118e-05	5.88235294118e-05	0.000529411764706	0.355	0.0	0.0	0.000352941176471	0.0	0.0	0.0	5.88235294118e-05	0.475588235294	0.0	0.0	0.0	0.0	0.0	0.00405882352941	0.000117647058824	0.000882352941176	0.0	0.0	5.88235294118e-05	0.0	0.000235294117647	0.0303529411765	0.00641176470588	0.0111176470588	0.115117647059	5.88235294118e-05	0.0	5.88235294118e-05	0.000529411764706	0.355	0.0	0.0	0.000352941176471	0.0	0.0	0.0	5.88235294118e-05	0.0	0.475588235294	0.0	0.0	0.0	0.0	0.0	0.0	0.000470588235294	0.00358823529412	0.0	0.0	0.0	0.000117647058824	0.0	0.0	0.0	0.000882352941176	0.0	0.0	0.0	0.0	0.0	5.88235294118e-05	0.0	0.000235294117647	0.0	0.0303529411765	0.00641176470588	0.0111176470588
R14.P	B.12	Free Choice Timothy Hay	Test Pellet Diet E	__Free Choice Timothy Hay, Test Pellet Diet E__	0.0888823529412	0.000117647058824	0.000529411764706	0.347764705882	0.000529411764706	0.0	0.522470588235	0.0	0.0	0.0	0.0	0.00364705882353	0.000235294117647	0.000176470588235	0.0248235294118	0.0108235294118	0.0888823529412	0.000117647058824	0.0	0.000529411764706	0.347764705882	0.0	0.0	0.000529411764706	0.0	0.0	0.0	0.0	0.522470588235	0.0	0.0	0.0	0.0	0.0	0.00282352941176	0.0	0.000470588235294	0.000352941176471	0.0	0.000235294117647	0.0	0.000176470588235	0.0195882352941	0.00523529411765	0.0108235294118	0.0888823529412	0.000117647058824	0.0	0.0	0.000529411764706	0.347764705882	0.0	0.0	0.000529411764706	0.0	0.0	0.0	0.0	0.0	0.522470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.00252941176471	0.000294117647059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000470588235294	0.000352941176471	0.0	0.0	0.0	0.0	0.000235294117647	0.0	0.000176470588235	0.0	0.0195882352941	0.00523529411765	0.0108235294118
R15.P	B.13	Free Choice Timothy Hay	Test Pellet Diet E	__Free Choice Timothy Hay, Test Pellet Diet E__	0.110294117647	0.000117647058824	0.00282352941176	0.163882352941	0.000941176470588	0.0	0.686352941176	0.0	0.0	5.88235294118e-05	0.0	0.00494117647059	0.000352941176471	0.000764705882353	0.0267058823529	0.00276470588235	0.110294117647	0.000117647058824	0.0	0.00282352941176	0.163823529412	0.0	5.88235294118e-05	0.000941176470588	0.0	0.0	0.0	0.0	0.686352941176	0.0	0.0	0.0	5.88235294118e-05	0.0	0.00347058823529	0.000176470588235	0.0	0.000352941176471	0.000941176470588	0.000352941176471	0.0	0.000764705882353	0.0212352941176	0.00547058823529	0.00276470588235	0.110294117647	0.000117647058824	0.0	0.0	0.00282352941176	0.163823529412	0.0	5.88235294118e-05	0.000941176470588	0.0	0.0	0.0	0.0	0.0	0.686294117647	5.88235294118e-05	0.0	0.0	0.0	5.88235294118e-05	0.0	0.000176470588235	0.00329411764706	0.0	0.0	0.0	0.000176470588235	0.0	0.0	0.0	0.0	0.000352941176471	0.0	0.0	0.000764705882353	0.000176470588235	0.000352941176471	0.0	0.000764705882353	0.0	0.0212352941176	0.00547058823529	0.00276470588235
R16.P	B.14	Free Choice Timothy Hay	Test Pellet Diet E	__Free Choice Timothy Hay, Test Pellet Diet E__	0.920823529412	0.0	0.000235294117647	0.00982352941176	0.000117647058824	0.0	0.0619411764706	0.0	0.0	0.0	0.000117647058824	0.00476470588235	0.000117647058824	5.88235294118e-05	0.00129411764706	0.000705882352941	0.920823529412	0.0	0.0	0.000235294117647	0.00970588235294	0.0	0.000117647058824	0.000117647058824	0.0	0.0	0.0	0.000352941176471	0.0615882352941	0.0	0.0	0.0	0.0	0.000117647058824	5.88235294118e-05	0.000294117647059	0.0	0.000235294117647	0.00417647058824	0.000117647058824	0.0	5.88235294118e-05	0.000764705882353	0.000529411764706	0.000705882352941	0.920823529412	0.0	0.0	0.0	0.000235294117647	0.00970588235294	0.0	0.000117647058824	0.000117647058824	0.0	0.0	0.0	0.000176470588235	0.000176470588235	0.0615882352941	0.0	0.0	0.0	0.0	0.0	0.000117647058824	0.0	0.0	0.0	0.0	5.88235294118e-05	0.000294117647059	0.0	0.0	0.0	0.0	0.000235294117647	0.0	0.0	0.00341176470588	0.000764705882353	0.000117647058824	0.0	5.88235294118e-05	0.0	0.000764705882353	0.000529411764706	0.000705882352941
R17.P	B.15	Free Choice Timothy Hay	Test Pellet Diet E	__Free Choice Timothy Hay, Test Pellet Diet E__	0.127647058824	0.0	0.00176470588235	0.275058823529	0.00282352941176	0.0	0.507411764706	0.0	0.0	0.0	0.0	0.00688235294118	0.000117647058824	0.00211764705882	0.0301176470588	0.0460588235294	0.127647058824	0.0	0.0	0.00176470588235	0.275058823529	0.0	0.0	0.00282352941176	0.0	0.0	0.0	0.0	0.507058823529	0.000352941176471	0.0	0.0	0.0	0.0	0.00352941176471	0.0	0.00223529411765	0.00105882352941	5.88235294118e-05	0.000117647058824	0.0	0.00211764705882	0.0191176470588	0.011	0.0460588235294	0.127647058824	0.0	0.0	0.0	0.00176470588235	0.275058823529	0.0	0.0	0.00282352941176	0.0	0.0	0.0	0.0	0.0	0.506705882353	0.000352941176471	0.000352941176471	0.0	0.0	0.0	0.0	0.000294117647059	0.00323529411765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00223529411765	0.00105882352941	0.0	0.0	5.88235294118e-05	0.0	0.000117647058824	0.0	0.00211764705882	0.0	0.0191176470588	0.011	0.0460588235294
R18.P	C.12	Free Choice Timothy Hay	Test Pellet Diet P	__Free Choice Timothy Hay, Test Pellet Diet P__	0.157882352941	0.000117647058824	0.00311764705882	0.261647058824	0.000470588235294	0.0	0.539058823529	0.0	0.0	0.0	0.0	0.00323529411765	0.0159411764706	0.00535294117647	0.00952941176471	0.00364705882353	0.157882352941	0.000117647058824	0.0	0.00311764705882	0.261647058824	0.0	0.0	0.000470588235294	0.0	0.0	0.0	0.0	0.538235294118	0.000823529411765	0.0	0.0	0.0	0.0	0.000941176470588	0.000352941176471	0.000411764705882	0.00152941176471	0.0	0.0159411764706	0.0	0.00535294117647	0.00752941176471	0.002	0.00364705882353	0.157882352941	0.000117647058824	0.0	0.0	0.00311764705882	0.261647058824	0.0	0.0	0.000470588235294	0.0	0.0	0.0	0.0	0.0	0.538176470588	5.88235294118e-05	0.000823529411765	0.0	0.0	0.0	0.0	0.000411764705882	0.000529411764706	0.0	0.0	0.0	0.000352941176471	0.0	0.0	0.0	0.000411764705882	0.00152941176471	0.0	0.0	0.0	0.0	0.0159411764706	0.0	0.00535294117647	0.0	0.00752941176471	0.002	0.00364705882353
R19.P	C.13	Free Choice Timothy Hay	Test Pellet Diet P	__Free Choice Timothy Hay, Test Pellet Diet P__	0.208882352941	0.000117647058824	0.00288235294118	0.341705882353	0.000176470588235	0.0	0.412294117647	0.0	0.0	0.0	0.0	0.00747058823529	0.000117647058824	0.00188235294118	0.0163529411765	0.00811764705882	0.208882352941	0.000117647058824	0.0	0.00288235294118	0.341705882353	0.0	0.0	0.000176470588235	0.0	0.0	0.0	0.0	0.412235294118	5.88235294118e-05	0.0	0.0	0.0	0.0	0.00147058823529	0.0	0.000235294117647	0.00570588235294	5.88235294118e-05	0.000117647058824	0.0	0.00188235294118	0.0121764705882	0.00417647058824	0.00811764705882	0.208882352941	0.000117647058824	0.0	0.0	0.00288235294118	0.341705882353	0.0	0.0	0.000176470588235	0.0	0.0	0.0	0.0	0.0	0.412176470588	5.88235294118e-05	5.88235294118e-05	0.0	0.0	0.0	0.0	0.000411764705882	0.00105882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000235294117647	0.00570588235294	0.0	0.0	5.88235294118e-05	0.0	0.000117647058824	0.0	0.00188235294118	0.0	0.0121764705882	0.00417647058824	0.00811764705882
R2.P	C.14	Free Choice Timothy Hay	Test Pellet Diet P	__Free Choice Timothy Hay, Test Pellet Diet P__	0.163411764706	0.0	0.0124117647059	0.265176470588	0.00223529411765	0.0	0.489294117647	0.0	0.0	0.0	0.0	0.0168235294118	0.0	0.00129411764706	0.0142941176471	0.0350588235294	0.163411764706	0.0	0.0121176470588	0.000294117647059	0.265176470588	0.0	0.0	0.00223529411765	0.0	0.0	0.0	0.0	0.489058823529	0.000235294117647	0.0	0.0	0.0	0.0	0.00605882352941	0.0	0.0101176470588	0.000647058823529	0.0	0.0	0.0	0.00129411764706	0.0113529411765	0.00294117647059	0.0350588235294	0.163411764706	0.0	0.0	0.0121176470588	0.000294117647059	0.265176470588	0.0	0.0	0.00223529411765	0.0	0.0	0.0	0.0	0.0	0.489058823529	0.0	0.000235294117647	0.0	0.0	0.0	0.0	0.0	0.00605882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0101176470588	0.000647058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.00129411764706	0.0	0.0113529411765	0.00294117647059	0.0350588235294
R20.P	C.15	Free Choice Timothy Hay	Test Pellet Diet P	__Free Choice Timothy Hay, Test Pellet Diet P__	0.0861764705882	0.000470588235294	0.005	0.384529411765	0.0	0.0	0.424176470588	0.0	0.0	0.0	0.0	0.00217647058824	0.00458823529412	0.00235294117647	0.00623529411765	0.0842941176471	0.0861764705882	0.000470588235294	5.88235294118e-05	0.00494117647059	0.384529411765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.423529411765	0.000647058823529	0.0	0.0	0.0	0.0	0.000411764705882	0.000470588235294	0.000529411764706	0.000705882352941	5.88235294118e-05	0.00458823529412	0.0	0.00235294117647	0.00105882352941	0.00517647058824	0.0842941176471	0.0861764705882	0.000470588235294	5.88235294118e-05	0.0	0.00494117647059	0.384529411765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.423470588235	5.88235294118e-05	0.000647058823529	0.0	0.0	0.0	0.0	0.0	0.000411764705882	0.0	0.0	0.0	0.000470588235294	0.0	0.0	0.0	0.000529411764706	0.000705882352941	0.0	0.0	0.0	5.88235294118e-05	0.00458823529412	0.0	0.00235294117647	0.0	0.00105882352941	0.00517647058824	0.0842941176471
R21.P	C.16	Free Choice Timothy Hay	Test Pellet Diet P	__Free Choice Timothy Hay, Test Pellet Diet P__	0.108	0.000176470588235	0.00252941176471	0.361705882353	0.00123529411765	5.88235294118e-05	0.489941176471	0.0	0.0	0.0	0.0	0.00664705882353	0.000235294117647	0.000411764705882	0.00858823529412	0.0204705882353	0.108	0.000176470588235	0.0	0.00252941176471	0.361705882353	0.0	0.0	0.00123529411765	0.0	0.0	5.88235294118e-05	0.0	0.489705882353	0.000235294117647	0.0	0.0	0.0	0.0	0.00247058823529	0.000117647058824	0.00164705882353	0.00235294117647	5.88235294118e-05	0.000235294117647	0.0	0.000411764705882	0.00752941176471	0.00105882352941	0.0204705882353	0.108	0.000176470588235	0.0	0.0	0.00252941176471	0.361705882353	0.0	0.0	0.00123529411765	0.0	0.0	5.88235294118e-05	0.0	0.0	0.489647058824	5.88235294118e-05	0.000235294117647	0.0	0.0	0.0	0.0	0.0	0.00241176470588	0.0	0.0	5.88235294118e-05	0.000117647058824	0.0	0.0	0.0	0.00164705882353	0.00235294117647	0.0	0.0	5.88235294118e-05	0.0	0.000235294117647	0.0	0.000411764705882	0.0	0.00752941176471	0.00105882352941	0.0204705882353
R22.P	D.12	No Hay	Test Pellet Diet E	__No Hay, Test Pellet Diet E__	0.110823529412	0.0	0.00217647058824	0.455705882353	0.000235294117647	0.0	0.405882352941	0.0	0.0	0.0	0.0	0.00294117647059	0.000411764705882	0.000705882352941	0.0116470588235	0.00947058823529	0.110823529412	0.0	0.0	0.00217647058824	0.455705882353	0.0	0.0	0.000235294117647	0.0	0.0	0.0	0.0	0.405823529412	5.88235294118e-05	0.0	0.0	0.0	0.0	0.00117647058824	0.000117647058824	0.000294117647059	0.00123529411765	0.000117647058824	0.000411764705882	0.0	0.000705882352941	0.00458823529412	0.00705882352941	0.00947058823529	0.110823529412	0.0	0.0	0.0	0.00217647058824	0.455705882353	0.0	0.0	0.000235294117647	0.0	0.0	0.0	0.0	0.0	0.405823529412	0.0	5.88235294118e-05	0.0	0.0	0.0	0.0	0.0	0.00117647058824	0.0	0.0	0.0	0.000117647058824	0.0	0.0	0.0	0.000294117647059	0.00123529411765	0.0	0.0	0.000117647058824	0.0	0.000411764705882	0.0	0.000705882352941	0.0	0.00458823529412	0.00705882352941	0.00947058823529
R23.P	D.13	No Hay	Test Pellet Diet E	__No Hay, Test Pellet Diet E__	0.184176470588	0.000529411764706	0.00576470588235	0.134647058824	0.000941176470588	0.0	0.583823529412	0.0	0.0	0.000176470588235	0.0	0.00211764705882	0.000176470588235	0.000352941176471	0.0573529411765	0.0299411764706	0.184176470588	0.000529411764706	0.0	0.00576470588235	0.134647058824	0.0	0.0	0.000941176470588	0.0	0.0	0.0	0.0	0.583823529412	0.0	0.0	0.0	0.000176470588235	0.0	0.000117647058824	5.88235294118e-05	0.001	0.000882352941176	5.88235294118e-05	0.000176470588235	0.0	0.000352941176471	0.0107058823529	0.0466470588235	0.0299411764706	0.184176470588	0.000529411764706	0.0	0.0	0.00576470588235	0.134647058824	0.0	0.0	0.000941176470588	0.0	0.0	0.0	0.0	0.0	0.583764705882	5.88235294118e-05	0.0	0.0	0.0	0.000176470588235	0.0	0.0	0.000117647058824	0.0	0.0	0.0	5.88235294118e-05	0.0	0.0	0.0	0.001	0.000882352941176	0.0	0.0	5.88235294118e-05	0.0	0.000176470588235	0.0	0.000352941176471	0.0	0.0107058823529	0.0466470588235	0.0299411764706
